Algoritmo,Distribuicao,Tamanho,TempoMedio_Segundos
QuickSort,Decrescente,75000,-1.000000
HeapSort,Decrescente,75000,0.006710
RadixSort,Decrescente,75000,0.005707
QuickSort,Aleatorio,100000,0.008594
HeapSort,Aleatorio,100000,0.014302
RadixSort,Aleatorio,100000,0.007466
QuickSort,Crescente,100000,-1.000000
HeapSort,Crescente,100000,0.009973
RadixSort,Crescente,100000,0.008843
QuickSort,Decrescente,100000,-1.000000
HeapSort,Decrescente,100000,0.009058
RadixSort,Decrescente,100000,0.009271
QuickSort,Aleatorio,250000,0.021803
HeapSort,Aleatorio,250000,0.042010
RadixSort,Aleatorio,250000,0.018170
QuickSort,Crescente,250000,-1.000000
HeapSort,Crescente,250000,0.025389
RadixSort,Crescente,250000,0.025344
QuickSort,Decrescente,250000,-1.000000
HeapSort,Decrescente,250000,0.026120
RadixSort,Decrescente,250000,0.024172
QuickSort,Aleatorio,500000,0.048024
HeapSort,Aleatorio,500000,0.091335
RadixSort,Aleatorio,500000,0.044684
QuickSort,Crescente,500000,-1.000000
HeapSort,Crescente,500000,0.048744
RadixSort,Crescente,500000,0.058861
QuickSort,Decrescente,500000,-1.000000
HeapSort,Decrescente,500000,0.051846
RadixSort,Decrescente,500000,0.056162
QuickSort,Aleatorio,750000,0.073589
HeapSort,Aleatorio,750000,0.145999
RadixSort,Aleatorio,750000,0.068906
QuickSort,Crescente,750000,-1.000000
HeapSort,Crescente,750000,0.075380
RadixSort,Crescente,750000,0.082171
QuickSort,Decrescente,750000,-1.000000
HeapSort,Decrescente,750000,0.080592
RadixSort,Decrescente,750000,0.101320
QuickSort,Aleatorio,1000000,0.099188
HeapSort,Aleatorio,1000000,0.235035
RadixSort,Aleatorio,1000000,0.088042
QuickSort,Crescente,1000000,-1.000000
HeapSort,Crescente,1000000,0.103734
RadixSort,Crescente,1000000,0.128803
QuickSort,Decrescente,1000000,-1.000000
HeapSort,Decrescente,1000000,0.111188
RadixSort,Decrescente,1000000,0.130014
